,,Hokuriku,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Hokuriku
4/8/22,22:00,0,1935,1419,0,82,124,75,0,0,0,-619,0,0,3015,15.24
4/8/22,23:00,0,1511,1249,0,80,353,66,0,0,0,-482,0,0,2777,0.09
4/9/22,0:00,0,1271,1283,0,81,616,55,0,0,0,-560,0,0,2745,0.01
4/9/22,1:00,0,1129,1294,0,80,814,60,0,0,0,-604,0,0,2774,0.01
4/9/22,2:00,0,944,1216,0,80,959,69,0,0,0,-478,0,0,2789,0.01
4/9/22,3:00,0,920,1193,0,78,1019,74,0,0,0,-501,0,0,2783,0.01
4/9/22,4:00,0,868,1181,0,78,1014,77,0,0,0,-516,0,0,2702,0.01
4/9/22,5:00,0,905,1148,0,77,951,78,0,0,0,-495,0,0,2663,0.01
4/9/22,6:00,0,980,1169,0,77,820,73,0,0,0,-504,0,0,2614,0.01
4/9/22,7:00,0,1251,1177,0,78,617,73,0,0,0,-622,0,0,2573,0.01
4/9/22,8:00,0,1650,1270,0,77,360,67,0,0,0,-836,0,0,2588,1.01
4/9/22,9:00,0,1951,1397,0,78,116,58,0,0,0,-986,0,0,2614,15.96
4/9/22,10:00,0,1977,1481,0,78,6,67,0,0,0,-925,0,0,2685,23.39
4/9/22,11:00,0,1980,1433,0,77,0,64,0,26,0,-904,0,0,2677,23.39
4/9/22,12:00,0,1947,1389,0,77,0,72,0,24,0,-911,0,0,2598,20.4
4/9/22,13:00,0,1983,1396,0,79,0,62,0,0,0,-1018,0,0,2501,18.18
4/9/22,14:00,0,1983,1285,0,77,0,40,0,0,0,-943,0,0,2442,16.96
4/9/22,15:00,0,1955,1278,0,78,0,22,0,0,0,-920,0,0,2413,13.88
4/9/22,16:00,0,1980,1409,0,77,0,32,0,0,0,-1153,0,0,2346,10.42
4/9/22,17:00,0,1984,1494,0,78,0,43,0,0,0,-1161,0,0,2438,16.89
4/9/22,18:00,0,1909,1524,0,79,0,51,0,0,0,-901,0,0,2661,17.88
4/9/22,19:00,0,1918,1591,0,78,0,60,0,0,0,-831,0,0,2816,18.33
4/9/22,20:00,0,1962,1598,0,77,0,55,0,0,0,-856,0,0,2836,19.94
4/9/22,21:00,0,1978,1506,0,78,8,45,0,0,0,-908,0,0,2708,18.34
4/9/22,22:00,0,1845,1415,0,78,112,43,0,0,0,-1002,0,0,2491,12.93
4/9/22,23:00,0,1290,1245,0,77,327,32,0,0,0,-641,0,0,2330,4.21
4/10/22,0:00,0,1000,1338,0,77,587,21,0,0,0,-698,0,0,2324,0.01
4/10/22,1:00,0,859,1295,0,77,788,22,0,0,0,-656,0,0,2386,0.01
