,,Kansai,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Kansai
4/11/22,7:00,2068,8348,1461,0,68,1104,97,0,1506,1043,0,0,0,15695,11.45
4/11/22,8:00,2068,8830,1819,0,68,557,91,0,1561,755,0,0,0,15749,18.11
4/11/22,9:00,2068,8973,2065,0,68,241,98,0,1388,747,0,0,0,15648,22.86
4/11/22,10:00,2068,8964,2089,0,68,11,82,0,1073,1352,0,0,0,15709,31.84
4/11/22,11:00,2068,8974,2061,0,68,0,76,0,599,1396,0,0,0,15244,24.36
4/11/22,12:00,2068,8957,1919,0,68,0,75,0,370,1143,0,0,0,14601,24.11
4/11/22,13:00,2068,8868,1681,0,68,0,59,0,307,918,0,0,0,13969,20.11
4/11/22,14:00,2069,8286,1392,0,68,0,55,0,172,1338,0,0,0,13380,18.54
4/11/22,15:00,2069,7627,1296,0,68,0,56,0,13,1694,0,0,0,12823,13.45
4/11/22,16:00,2069,6753,1292,0,68,0,41,0,0,1720,0,0,0,11944,12.64
4/11/22,17:00,2068,6980,1325,0,68,0,31,0,75,1162,0,0,0,11709,16.02
4/11/22,18:00,2068,6672,1903,0,68,0,26,0,120,1433,0,0,0,12289,16.76
4/11/22,19:00,2068,6741,1960,0,68,0,19,0,120,1824,0,0,0,12801,15.26
4/11/22,20:00,2069,6643,1964,0,68,0,15,0,123,1982,0,0,0,12865,14.1
4/11/22,21:00,2068,7023,1412,0,68,33,15,0,175,1840,0,0,0,12635,16.78
4/11/22,22:00,2069,6827,1219,0,68,621,23,0,222,1805,0,0,0,12854,13.2
4/11/22,23:00,2069,6422,1158,0,68,1712,15,0,251,2059,0,0,0,13755,7.38
4/12/22,0:00,2069,7005,1064,0,68,2752,19,0,46,2131,0,0,0,15154,5.8
4/12/22,1:00,2068,7401,980,0,68,3400,19,-202,0,2407,0,0,0,16142,0.51
4/12/22,2:00,2069,6314,984,0,68,4159,18,-287,0,3141,0,0,0,16466,0.01
4/12/22,3:00,2068,6427,986,0,68,4740,19,-720,0,3047,0,0,0,16635,0.01
4/12/22,4:00,2068,6627,988,0,68,5124,23,-1792,0,2974,0,0,0,16080,0.01
